,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location,Score,Rank
埃里克-戈登,1.5,0.4,1.7,12.860999999999999,0.4,1.9,2.972,2.667,0.7659999999999999,36,15,1016,28.2,0.3,520,14.4,2.0,0.6,2.667,0.317,1.2,后卫,-1.1254566131494168,92
雷吉-杰克逊,4.1,0.2,2.4,10.515999999999998,0.4,1.9,1.742,1.839,0.833,31,16,743,24.0,0.5,370,11.9,3.0,0.4,1.839,0.39299999999999996,1.6,后卫,-1.2265424508478424,93
麦克-穆尔德,1.1,0.1,2.9,9.571,0.4,2.9,1.714,2.286,0.75,7,3,204,29.1,0.4,77,11.0,3.3,0.3,2.286,0.308,0.7,后卫,-1.2861441145646235,94
肯塔维厄斯 卡德维尔-波普,1.6,0.2,1.5,7.348,0.5,1.9,1.4780000000000002,1.3330000000000002,0.775,69,26,1762,25.5,0.6,645,9.3,2.1,0.8,1.3330000000000002,0.385,0.9,后卫,-1.3597686770141555,95
塞斯-库里,1.9,0.1,1.8,8.969,0.5,1.8,1.516,2.266,0.825,64,25,1576,24.6,0.4,793,12.4,2.3,0.6,2.266,0.452,1.0,后卫,-1.3630013870523805,96
Keldon Johnson,0.9,0.1,2.8,5.235,0.6,1.6,2.588,0.765,0.795,17,1,301,17.7,0.6,154,9.1,3.4,0.8,0.765,0.591,0.8,后卫,-1.431727975261751,97
乔治-希尔,3.1,0.1,2.2,6.3729999999999976,0.5,1.4,1.712,1.3730000000000002,0.8420000000000001,59,2,1271,21.5,0.8,554,9.4,3.0,0.8,1.3730000000000002,0.46,1.0,后卫,-1.4327506571162794,98
艾伦-霍利迪,3.4,0.2,2.0,8.53,0.4,1.8,1.318,1.318,0.851,66,33,1617,24.5,0.3,627,9.5,2.4,0.8,1.318,0.39399999999999996,1.3,后卫,-1.4546650193010513,99
以赛亚-托马斯,3.7,0.2,1.4,10.65,0.4,1.9,1.9,1.95,0.816,40,37,925,23.1,0.3,488,12.2,1.7,0.3,1.95,0.413,1.9,后卫,-1.4765508690276063,100
谢克-米尔顿,2.6,0.2,1.8,6.925,0.5,2.3,1.625,1.45,0.785,40,24,805,20.1,0.4,377,9.4,2.2,0.5,1.45,0.43,1.2,后卫,-1.488059519004657,101
马利克-莫克,2.1,0.3,2.4,8.873,0.4,1.3,1.818,1.055,0.82,55,1,1169,21.3,0.5,564,10.3,2.9,0.5,1.055,0.284,1.4,后卫,-1.5378754327385342,102
本-麦克勒莫,0.8,0.2,1.9,7.676,0.4,2.2,0.9440000000000001,2.549,0.746,71,23,1619,22.8,0.3,715,10.1,2.2,0.6,2.549,0.4,0.7,后卫,-1.6378668648898735,103
布林-福布斯,1.7,0.0,1.8,9.222000000000001,0.4,1.8,1.429,2.349,0.833,63,62,1579,25.1,0.2,707,11.2,2.0,0.5,2.349,0.38799999999999996,0.9,后卫,-1.6418308770864387,104
D.J.奥古斯丁,4.6,0.0,1.8,8.088,0.4,1.3,3.175,1.228,0.89,57,13,1420,24.9,0.4,599,10.5,2.1,0.6,1.228,0.348,1.5,后卫,-1.6418636322907298,105
兰德里-沙梅特,1.9,0.2,1.8,7.3770000000000024,0.4,2.7,1.4340000000000002,2.094,0.855,53,30,1452,27.4,0.1,492,9.3,1.9,0.4,2.094,0.375,0.8,后卫,-1.6667933587009178,106
马利克-比斯利,1.4,0.1,2.4,9.709,0.4,1.4,1.2,1.945,0.818,55,14,1209,22.0,0.3,615,11.2,2.7,0.7,1.945,0.38799999999999996,1.0,后卫,-1.6786895968508926,107
兰斯顿-加洛维,1.5,0.2,1.8,8.212,0.4,1.5,1.288,2.0,0.8590000000000001,66,6,1702,25.8,0.5,677,10.3,2.3,0.7,2.0,0.39899999999999997,0.6,后卫,-1.7352723659619795,108
福尔康-科尔克马兹,1.1,0.2,2.1,7.819,0.4,1.4,1.4169999999999998,1.986,0.755,72,12,1559,21.7,0.3,704,9.8,2.3,0.6,1.986,0.402,0.8,后卫,-1.7833804851653308,109
帕蒂-米尔斯,1.8,0.1,1.3,9.061,0.4,1.6,1.6969999999999998,2.333,0.866,66,1,1485,22.5,0.3,767,11.6,1.6,0.8,2.333,0.382,0.8,后卫,-1.939400412679306,110
