,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
10,13,3.300,0,0.000,多诺万米切尔,14,3.500,0,0.000,0,Donovan Mitchell,54,13.500,26,0,0.5,0,5,1.300,17,4.250,14,1.750,0,0.824,4,4,45,103,25.800,3,0.800,1962937730,73,18.300,17,4.300,2019,0,1,0.300,0,26,爵士,19,4.750,7,1.750,0,0.368,0,5,1.300
11,5,1.300,3,0.800,乔尔-恩比德,17,4.300,0,0.000,0,Joel Embiid,39,9.750,21,0,0.5,0,11,2.800,33,8.250,29,0.500,0,0.879,4,4,21,81,20.300,9,2.300,5294,73,18.300,26,6.500,2019,0,1,0.300,0,20,76人,9,2.250,2,0.500,0,0.222,0,10,2.500
12,2,0.400,6,1.200,马文-巴格利三世,35,7.000,3,0.000,0,Marvin Bagley III,67,13.400,34,0,0.5,0,18,3.600,28,5.600,20,0.600,0,0.714,5,5,35,138,27.600,14,2.800,1962938045,91,18.200,49,9.800,2019,0,4,0.800,0,23,国王,9,1.800,3,0.600,0,0.333,0,7,1.400
13,12,3.000,2,0.500,丹吉洛-拉塞尔,8,2.000,0,0.000,0,D'Angelo Russell,59,14.750,26,0,0.4,0,8,2.000,10,2.500,9,2.750,0,0.900,4,4,0,99,24.800,1,0.300,5543,72,18.000,9,2.300,2019,0,2,0.500,0,9,勇士,31,7.750,11,2.750,0,0.355,0,11,2.800
14,4,1.300,3,1.000,马库斯-莫里斯,18,6.000,0,0.000,0,Marcus Morris Sr.,36,12.000,19,0,0.5,0,8,2.700,9,3.000,7,2.333,0,0.778,3,3,31,77,25.700,3,1.000,4895,52,17.300,21,7.000,2019,0,1,0.300,0,18,尼克斯,14,4.667,7,2.333,0,0.500,0,3,1.000
15,16,3.200,7,1.400,卡尔-安东尼-唐斯,25,5.000,2,0.000,0,Karl-Anthony Towns,56,11.200,29,0,0.5,0,7,1.400,17,3.400,16,2.400,0,0.941,5,5,32,106,21.200,5,1.000,5546,86,17.200,30,6.000,2019,0,5,1.000,0,16,森林狼,31,6.200,12,2.400,0,0.387,0,10,2.000
16,12,4.000,2,0.700,帕斯卡尔-西亚卡姆,21,7.000,1,0.000,0,Pascal Siakam,37,12.333,17,0,0.5,0,7,2.300,14,4.667,12,1.667,0,0.857,3,3,43,71,23.700,3,1.000,1962937454,51,17.000,24,8.000,2019,0,5,1.700,0,28,猛龙,13,4.333,5,1.667,0,0.385,0,11,3.700
17,33,6.600,1,0.200,特雷-杨,19,3.800,0,0.000,0,Trae Young,66,13.200,28,0,0.4,0,9,1.800,26,5.200,22,1.200,0,0.846,5,5,11,130,26.000,6,1.200,1962938087,84,16.800,25,5.000,2019,0,5,1.000,0,1,老鹰,24,4.800,6,1.200,0,0.250,0,24,4.800
18,5,1.300,1,0.300,托里恩-普林斯,11,2.800,0,0.000,0,Taurean Prince,38,9.500,24,0,0.6,0,8,2.000,3,0.750,3,4.000,0,1.000,4,3,2,90,22.500,2,0.500,1962937423,67,16.800,13,3.300,2019,0,3,0.800,0,17,篮网,23,5.750,16,4.000,0,0.696,0,8,2.000
19,18,4.500,4,1.000,朱利叶斯-兰德尔,29,7.300,0,0.000,0,Julius Randle,51,12.750,22,0,0.4,0,13,3.300,18,4.500,14,1.750,0,0.778,4,4,30,125,31.300,3,0.800,5318,65,16.300,32,8.000,2019,0,4,1.000,0,18,尼克斯,16,4.000,7,1.750,0,0.438,0,14,3.500
20,18,4.500,1,0.300,拉塞尔-韦斯布鲁克,8,2.000,0,0.000,0,Russell Westbrook,53,13.250,22,0,0.4,0,15,3.800,22,5.500,14,1.750,0,0.636,4,4,4,100,25.000,5,1.300,4390,65,16.300,13,3.300,2019,0,8,2.000,0,10,火箭,26,6.500,7,1.750,0,0.269,0,21,5.300
21,3,3.000,0,0.000,奎因-库克,1,1.000,0,0.000,0,Quinn Cook,9,9.000,6,0,0.7,0,0,0.000,0,0.000,0,4.000,0,0.000,1,0,2,15,15.000,1,1.000,5678,16,16.000,2,2.000,2019,0,0,0.000,0,13,湖人,5,5.000,4,4.000,0,0.800,0,1,1.000
22,6,1.500,2,0.500,克里斯塔普斯-波尔津吉斯,30,7.500,2,0.000,0,Kristaps Porzingis,61,15.250,24,0,0.4,0,13,3.300,10,2.500,8,2.000,0,0.800,4,4,6,92,23.000,8,2.000,5544,64,16.000,38,9.500,2019,0,2,0.500,0,6,独行侠,28,7.000,8,2.000,0,0.286,0,7,1.800
