,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
布雷克-格里芬,4.0,0.0,1.5,8.0,0.4,1.5,3.0,1.5,0.5,2,2,41,20.5,1.0,20,10.0,2.5,0.0,1.5,0.333,4.0,前锋
Brandon Clarke,1.5,0.3,7.0,7.25,0.6,0.5,2.25,0.0,0.778,4,4,79,19.8,2.8,39,9.8,9.8,0.5,0.0,0.0,1.0,前锋
阿隆-戈登,1.8,0.2,4.2,11.167,0.4,1.3,1.5,0.833,0.667,6,6,125,20.8,0.8,59,9.8,5.0,0.7,0.833,0.217,1.5,前锋
安德鲁-维金斯,1.4,0.0,0.6,11.4,0.3,2.0,2.0,1.2,0.5,5,5,95,19.0,0.6,49,9.8,1.2,0.0,1.2,0.316,1.6,前锋
乔纳森-艾萨克,1.8,1.5,4.0,8.5,0.4,2.5,3.0,0.833,0.722,6,6,145,24.2,1.7,58,9.7,5.7,2.0,0.833,0.263,0.8,前锋
鲁迪-盖伊,1.3,0.3,4.7,8.333,0.4,1.3,0.667,1.6669999999999998,1.0,3,0,59,19.7,0.3,29,9.7,5.0,0.3,1.6669999999999998,0.417,2.0,前锋
Eric Paschall,1.2,0.4,1.8,7.0,0.5,2.8,3.4,0.2,0.8240000000000001,5,1,115,23.0,1.8,47,9.4,3.6,0.6,0.2,0.25,1.0,前锋
马基斯-克里斯,3.4,1.0,5.8,5.8,0.6,3.6,2.8,0.2,0.857,5,4,112,22.4,2.2,47,9.4,8.0,1.0,0.2,0.14300000000000002,1.6,前锋
Michael Porter Jr.,0.8,0.5,3.0,7.25,0.6,2.8,1.5,0.25,0.667,4,0,64,16.0,1.0,37,9.3,4.0,0.5,0.25,0.14300000000000002,0.5,前锋
达迈·李,0.8,0.0,2.6,6.2,0.5,1.0,3.8,0.6,0.789,5,0,83,16.6,1.0,46,9.2,3.6,2.0,0.6,0.214,1.4,前锋
戴维斯-贝尔坦斯,1.6,0.6,3.4,6.4,0.4,0.8,1.0,2.6,0.8,5,0,87,17.4,0.2,45,9.0,3.6,0.8,2.6,0.464,0.4,前锋
杰伦-布朗,2.0,0.7,4.0,7.0,0.5,0.7,1.6669999999999998,0.333,0.8,3,3,54,18.0,0.3,27,9.0,4.3,1.0,0.333,0.25,0.7,前锋
马基夫-莫里斯,0.8,0.5,2.5,7.25,0.5,2.5,0.75,1.0,0.667,4,2,72,18.0,0.0,36,9.0,2.5,0.3,1.0,0.333,1.5,前锋
艾尔-霍福德,2.3,0.5,3.8,8.25,0.5,1.0,1.0,1.0,0.5,4,4,85,21.3,1.8,36,9.0,5.5,1.3,1.0,0.4,1.0,前锋
乔-因戈尔斯,5.8,0.0,2.3,6.0,0.5,2.5,1.0,2.0,1.0,4,1,96,24.0,0.3,36,9.0,2.5,1.0,2.0,0.471,2.3,前锋
贾斯蒂斯-温斯洛,5.5,0.0,4.0,10.25,0.4,2.3,2.0,0.0,0.625,4,4,101,25.3,0.5,35,8.8,4.5,1.0,0.0,0.0,3.8,前锋
格伦-罗宾逊,1.0,0.3,3.0,6.5,0.5,1.8,1.0,1.25,1.0,4,3,80,20.0,1.0,35,8.8,4.0,0.8,1.25,0.5,0.5,前锋
达里奥-萨里奇,1.0,0.0,5.3,8.333,0.4,2.0,1.3330000000000002,1.6669999999999998,0.75,3,3,65,21.7,1.7,26,8.7,7.0,0.7,1.6669999999999998,0.5,1.7,前锋
