cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
托尼-布拉德利,0.0,0.4,3.8,6.6,0.8,1.0,3.0,0.0,0.667,5,0,64,12.8,2.4,60,12.0,6.2,0.0,0.0,0.0,1.2
肯巴-沃克,2.0,0.0,0.5,6.5,0.5,1.0,4.5,2.5,0.778,2,2,36,18.0,0.0,24,12.0,0.5,0.5,2.5,0.625,1.5
托拜亚斯-哈里斯,2.0,0.4,5.4,11.2,0.4,2.4,1.6,1.0,0.875,5,5,124,24.8,1.6,60,12.0,7.0,0.6,1.0,0.25,1.4
扎南-穆萨,1.0,0.3,2.0,8.75,0.5,1.5,3.0,1.75,0.583,4,0,71,17.8,0.8,48,12.0,2.8,1.3,1.75,0.467,0.5
杰拉米-格兰特,0.3,0.5,1.8,7.0,0.5,3.0,3.5,1.75,0.929,4,1,84,21.0,0.8,48,12.0,2.5,1.0,1.75,0.583,1.8
奥托-波特,3.3,1.0,2.0,10.25,0.4,0.8,2.0,1.75,0.5,4,4,77,19.3,1.5,47,11.8,3.5,0.8,1.75,0.35,0.5
贾伊-克劳德,1.5,0.3,4.8,9.25,0.4,1.3,3.25,2.25,0.769,4,4,101,25.3,0.5,47,11.8,5.3,1.0,2.25,0.34600000000000003,1.0
贾斯汀-杰克逊,0.6,0.0,2.0,7.6,0.6,2.0,1.0,1.8,0.8,5,2,109,21.8,0.4,59,11.8,2.4,0.4,1.8,0.45,2.0
Zach Norvell Jr.,1.8,0.2,1.8,8.333,0.4,1.8,3.833,2.0,0.87,6,1,137,22.8,0.7,70,11.7,2.5,1.0,2.0,0.353,1.5
小蒂姆-哈达威,2.2,0.2,1.6,9.0,0.5,1.2,0.8,2.4,1.0,5,2,109,21.8,0.0,58,11.6,1.6,0.8,2.4,0.429,0.2
卢克-肯纳德,1.5,0.0,3.5,8.25,0.5,1.3,1.5,2.25,0.833,4,1,91,22.8,0.3,46,11.5,3.8,0.3,2.25,0.474,2.5
乔丹-克拉克森,1.8,0.3,1.5,8.25,0.5,1.3,0.75,2.25,1.0,4,0,73,18.3,0.0,46,11.5,1.5,0.8,2.25,0.45,1.3
弗兰克-杰克逊,1.2,0.0,1.2,7.6,0.6,0.8,1.6,1.8,0.75,5,0,91,18.2,0.2,57,11.4,1.4,0.4,1.8,0.529,1.0
贾巴里-帕克,0.8,0.2,5.4,9.4,0.5,2.4,2.6,1.0,0.615,5,1,113,22.6,2.0,57,11.4,7.4,0.2,1.0,0.278,2.4
Ja Morant,7.3,0.5,2.5,10.25,0.4,1.0,3.5,0.25,0.5710000000000001,4,4,87,21.8,1.0,45,11.3,3.5,0.5,0.25,0.14300000000000002,2.3
卡里斯-勒维尔,4.3,0.3,3.0,7.25,0.6,1.5,2.5,1.5,0.7,4,4,69,17.3,0.3,45,11.3,3.3,2.0,1.5,0.462,1.8
杰里米-兰姆,2.5,0.0,3.5,9.0,0.4,1.3,2.75,1.25,0.909,4,4,94,23.5,0.5,45,11.3,4.0,1.3,1.25,0.294,1.8
劳里-马尔卡宁,2.0,0.0,7.0,10.5,0.4,2.0,1.75,2.0,0.7140000000000001,4,4,91,22.8,1.3,45,11.3,8.3,0.5,2.0,0.33299999999999996,1.3
