,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
贾伊-克劳德,2.8,0.3,5.3,8.867,0.4,1.9,2.111,1.733,0.789,45,45,1322,29.4,0.9,447,9.9,6.2,1.0,1.733,0.293,1.2,前锋
乔-因戈尔斯,5.2,0.2,3.5,7.681,0.4,2.1,1.306,1.958,0.787,72,45,2137,29.7,0.4,707,9.8,3.9,0.9,1.958,0.399,2.0,前锋
福尔康-科尔克马兹,1.1,0.2,2.1,7.819,0.4,1.4,1.4169999999999998,1.986,0.755,72,12,1559,21.7,0.3,704,9.8,2.3,0.6,1.986,0.402,0.8,前锋
米切尔-鲁滨逊,0.6,2.0,4.0,5.59,0.7,3.2,2.426,0.0,0.568,61,7,1412,23.1,3.0,590,9.7,7.0,0.9,0.0,0.0,0.6,前锋
马基夫-莫里斯,1.3,0.3,3.1,7.897,0.4,2.3,1.466,1.517,0.7759999999999999,58,17,1188,20.5,0.7,560,9.7,3.8,0.5,1.517,0.386,1.3,前锋
弗兰克-卡明斯基,1.9,0.3,3.6,7.872000000000001,0.4,1.9,2.3080000000000003,1.051,0.6779999999999999,39,13,777,19.9,0.9,378,9.7,4.5,0.4,1.051,0.331,0.9,前锋
多利安-芬尼-史密斯,1.6,0.5,3.7,7.352,0.5,2.5,1.521,1.606,0.722,71,68,2120,29.9,2.0,678,9.5,5.7,0.6,1.606,0.376,1.0,前锋
德怀特-鲍威尔,1.5,0.6,3.8,5.725,0.6,2.6,2.775,0.25,0.667,40,37,1061,26.5,1.9,376,9.4,5.7,0.9,0.25,0.256,0.9,前锋
谢克-米尔顿,2.6,0.2,1.8,6.925,0.5,2.3,1.625,1.45,0.785,40,24,805,20.1,0.4,377,9.4,2.2,0.5,1.45,0.43,1.2,前锋
马基斯-克里斯,1.9,1.1,4.3,6.525,0.5,2.1,2.644,0.136,0.769,59,21,1196,20.3,1.9,548,9.3,6.2,0.7,0.136,0.205,1.3,前锋
Michael Porter Jr.,0.8,0.5,3.5,6.964,0.5,1.8,1.3090000000000002,1.127,0.833,55,8,903,16.4,1.2,512,9.3,4.7,0.5,1.127,0.422,0.9,前锋
Jarrett Culver,1.7,0.6,2.3,9.032,0.4,2.0,1.857,1.048,0.462,63,35,1506,23.9,1.1,580,9.2,3.4,0.9,1.048,0.299,1.3,前锋
丹尼尔-泰斯,1.7,1.3,4.4,6.5539999999999985,0.6,3.4,1.754,0.4920000000000001,0.763,65,64,1566,24.1,2.2,601,9.2,6.6,0.6,0.4920000000000001,0.333,0.8,前锋
马克西-克勒贝尔,1.2,1.1,3.7,6.9460000000000015,0.5,2.4,1.257,1.608,0.8490000000000001,74,21,1890,25.5,1.5,672,9.1,5.2,0.3,1.608,0.373,0.8,前锋
杰克-雷曼,0.7,0.4,1.7,7.782999999999999,0.5,2.0,1.391,1.043,0.75,23,2,505,22.0,0.7,210,9.1,2.5,0.7,1.043,0.333,1.0,前锋
Keldon Johnson,0.9,0.1,2.8,5.235,0.6,1.6,2.588,0.765,0.795,17,1,301,17.7,0.6,154,9.1,3.4,0.8,0.765,0.591,0.8,前锋
