cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
布鲁克-洛佩兹,1.2,2.2,4.5,9.704,0.5,2.3,1.642,2.309,0.8420000000000001,81,81,2322,28.7,0.4,1009,12.5,4.9,0.6,2.309,0.365,1.0
特雷沃-阿里扎,3.7,0.3,4.7,10.667,0.4,1.9,2.377,2.101,0.7929999999999999,69,69,2349,34.0,0.7,863,12.5,5.4,1.3,2.101,0.33399999999999996,1.5
杰夫-格林,1.8,0.5,3.3,8.922,0.5,2.1,2.675,1.442,0.888,77,44,2097,27.2,0.7,946,12.3,4.0,0.6,1.442,0.34700000000000003,1.3
哈桑-怀特塞德,0.8,1.9,7.8,9.443999999999999,0.6,2.7,3.375,0.027999999999999997,0.449,72,53,1674,23.3,3.6,887,12.3,11.3,0.6,0.027999999999999997,0.125,1.3
杰夫-蒂格,8.2,0.4,2.1,9.905,0.4,2.1,3.6430000000000002,0.833,0.804,42,41,1264,30.1,0.4,510,12.1,2.5,1.0,0.833,0.33299999999999996,2.3
乔-因戈尔斯,5.7,0.2,3.6,9.78,0.4,2.2,1.5,2.305,0.7070000000000001,82,82,2568,31.3,0.4,994,12.1,4.0,1.2,2.305,0.391,2.4
贾维尔-麦基,0.7,2.0,4.9,8.547,0.6,2.8,2.0269999999999997,0.013000000000000001,0.632,75,62,1671,22.3,2.6,897,12.0,7.5,0.6,0.013000000000000001,0.083,1.4
迪昂-维特斯,2.8,0.2,2.5,10.864,0.4,1.6,1.0,2.477,0.5,44,28,1138,25.9,0.2,527,12.0,2.6,0.7,2.477,0.377,1.5
贾伊-克劳德,1.7,0.4,4.1,9.963,0.4,2.1,2.463,2.1630000000000003,0.721,80,11,2166,27.1,0.8,951,11.9,4.8,0.8,2.1630000000000003,0.331,1.1
伊托万-莫尔,1.9,0.2,1.7,10.038,0.5,2.1,1.113,1.4340000000000002,0.763,53,36,1463,27.6,0.7,633,11.9,2.4,0.8,1.4340000000000002,0.43200000000000005,1.1
威利-考利-斯坦,2.4,0.6,6.1,9.148,0.6,2.8,3.136,0.012,0.551,81,81,2213,27.3,2.2,965,11.9,8.4,1.2,0.012,0.5,1.0
德里克-费沃斯,1.2,1.4,4.6,8.145,0.6,2.1,3.0,0.22399999999999998,0.675,76,70,1766,23.2,2.7,897,11.8,7.4,0.7,0.22399999999999998,0.218,1.1
特雷-伯克,2.8,0.2,1.4,10.847999999999999,0.4,1.0,2.273,0.909,0.8270000000000001,33,7,689,20.9,0.5,388,11.8,1.9,0.6,0.909,0.349,0.9
布林-福布斯,2.1,0.0,2.7,9.646,0.5,1.9,0.951,2.146,0.885,82,81,2293,28.0,0.2,967,11.8,2.9,0.5,2.146,0.426,1.0
D.J.奥古斯丁,5.3,0.0,2.0,8.357999999999999,0.5,1.4,2.58,1.617,0.866,81,81,2269,28.0,0.5,948,11.7,2.5,0.6,1.617,0.42100000000000004,1.6
肯特-贝兹莫尔,2.3,0.6,3.3,10.312999999999999,0.4,2.5,2.612,1.433,0.726,67,35,1643,24.5,0.6,779,11.6,3.9,1.3,1.433,0.32,1.8
戈登-海沃德,3.4,0.3,3.8,8.818999999999999,0.5,1.4,2.597,1.069,0.8340000000000001,72,18,1863,25.9,0.7,825,11.5,4.5,0.9,1.069,0.33299999999999996,1.5
马基夫-莫里斯,1.8,0.6,3.9,9.647,0.4,3.4,2.147,1.412,0.7809999999999999,34,15,883,26.0,1.2,391,11.5,5.1,0.7,1.412,0.33299999999999996,1.4
威尔-巴顿,2.9,0.5,3.9,10.698,0.4,1.9,1.7209999999999999,1.558,0.77,43,38,1189,27.7,0.7,494,11.5,4.6,0.4,1.558,0.342,1.5
乔什-杰克逊,2.3,0.7,3.6,10.645999999999999,0.4,2.6,2.696,0.924,0.6709999999999999,79,29,1988,25.2,0.8,910,11.5,4.4,0.9,0.924,0.324,2.2
肯塔维厄斯 卡德维尔-波普,1.3,0.2,2.3,9.22,0.4,1.7,1.9269999999999998,1.841,0.867,82,23,2035,24.8,0.6,938,11.4,2.9,0.9,1.841,0.34700000000000003,0.8
