,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
福尔康-科尔克马兹,1.1,0.2,2.1,7.819,0.4,1.4,1.4169999999999998,1.986,0.755,72,12,1559,21.7,0.3,704,9.8,2.3,0.6,1.986,0.402,0.8,后卫
艾伦-霍利迪,3.4,0.2,2.0,8.53,0.4,1.8,1.318,1.318,0.851,66,33,1617,24.5,0.3,627,9.5,2.4,0.8,1.318,0.394,1.3,后卫
乔治-希尔,3.1,0.1,2.2,6.372999999999998,0.5,1.4,1.712,1.3730000000000002,0.8420000000000001,59,2,1271,21.5,0.8,554,9.4,3.0,0.8,1.3730000000000002,0.46,1.0,后卫
谢克-米尔顿,2.6,0.2,1.8,6.925,0.5,2.3,1.625,1.45,0.785,40,24,805,20.1,0.4,377,9.4,2.2,0.5,1.45,0.43,1.2,后卫
迪昂-维特斯,1.0,0.7,3.7,8.667,0.4,1.7,0.333,2.667,0.0,3,0,42,14.0,0.0,28,9.3,3.7,0.0,2.667,0.471,1.0,后卫
肯塔维厄斯 卡德维尔-波普,1.6,0.2,1.5,7.348,0.5,1.9,1.4780000000000002,1.3330000000000002,0.775,69,26,1762,25.5,0.6,645,9.3,2.1,0.8,1.3330000000000002,0.385,0.9,后卫
兰德里-沙梅特,1.9,0.2,1.8,7.377000000000002,0.4,2.7,1.4340000000000002,2.094,0.855,53,30,1452,27.4,0.1,492,9.3,1.9,0.4,2.094,0.375,0.8,后卫
多特-迪万斯索,2.3,0.3,3.8,7.727,0.5,1.7,1.3030000000000002,1.258,0.733,66,24,1520,23.0,1.0,610,9.2,4.8,1.3,1.258,0.336,1.4,后卫
Jarrett Culver,1.7,0.6,2.3,9.032,0.4,2.0,1.857,1.048,0.462,63,35,1506,23.9,1.1,580,9.2,3.4,0.9,1.048,0.299,1.3,后卫
Keldon Johnson,0.9,0.1,2.8,5.235,0.6,1.6,2.588,0.765,0.795,17,1,301,17.7,0.6,154,9.1,3.4,0.8,0.765,0.591,0.8,后卫
