,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
64,7,1.400,13,2.600,鲁迪-戈贝尔,28,5.600,2,0.000,0,Rudy Gobert,32,6.400,19,0,0.6,0,16,3.200,23,4.600,18,0.000,0,0.783,5,5,27,152,30.400,23,4.600,5197,56,11.200,51,10.200,2018,2,3,0.600,0,26,爵士,0,0.000,0,0.000,0,0.000,0,9,1.800
65,15,3.000,5,1.000,尼科拉-武切维奇,31,6.200,1,0.000,0,Nikola Vucevic,58,11.600,21,0,0.4,0,12,2.400,14,2.800,11,0.600,0,0.786,5,5,9,147,29.400,9,1.800,4897,56,11.200,40,8.000,2018,2,2,0.400,0,19,魔术,13,2.600,3,0.600,0,0.231,0,13,2.600
66,21,1.400,28,1.900,布鲁克-洛佩兹,70,4.700,1,0.000,0,Brook Lopez,134,8.933,61,0,0.5,0,46,3.100,29,1.933,24,1.467,0,0.828,15,15,11,438,29.200,12,0.800,4472,168,11.200,82,5.500,2018,2,6,0.400,0,15,雄鹿,75,5.000,22,1.467,0,0.293,0,10,0.700
67,12,1.700,5,0.700,鲁迪-盖伊,37,5.300,1,0.000,0,Rudy Gay,70,10.000,28,0,0.4,0,13,1.900,17,2.429,14,1.143,0,0.824,7,0,22,178,25.400,13,1.900,4136,78,11.100,50,7.100,2018,2,3,0.400,0,24,马刺,19,2.714,8,1.143,0,0.421,0,10,1.400
68,11,2.200,3,0.600,贾勒特艾伦,19,3.800,0,0.000,0,Jarrett Allen,32,6.400,19,0,0.6,0,13,2.600,20,4.000,17,0.000,0,0.850,5,5,31,110,22.000,15,3.000,1962937738,55,11.000,34,6.800,2018,2,3,0.600,0,17,篮网,0,0.000,0,0.000,0,0.000,0,8,1.600
69,5,0.800,0,0.000,贾麦考-格林,26,4.300,0,0.000,0,JaMychal Green,43,7.167,23,0,0.5,0,22,3.700,10,1.667,8,2.000,0,0.800,6,3,4,141,23.500,6,1.000,5262,66,11.000,32,5.300,2018,2,4,0.700,0,12,快船,23,3.833,12,2.000,0,0.522,0,11,1.800
70,7,1.000,1,0.100,布林-福布斯,24,3.400,0,0.000,0,Bryn Forbes,56,8.000,27,0,0.5,0,14,2.000,9,1.286,6,2.143,0,0.667,7,7,11,212,30.300,1,0.100,1962937501,75,10.700,25,3.600,2018,2,1,0.100,0,24,马刺,31,4.429,15,2.143,0,0.484,0,3,0.400
71,8,1.600,2,0.400,罗伊斯 奥尼尔,21,4.200,1,0.000,0,Royce O'Neale,45,9.000,21,0,0.5,0,15,3.000,4,0.800,3,1.600,0,0.750,5,0,23,137,27.400,2,0.400,1962937921,53,10.600,23,4.600,2018,2,2,0.400,0,26,爵士,23,4.600,8,1.600,0,0.348,0,10,2.000
72,15,3.800,3,0.800,赛迪斯-杨,19,4.800,0,0.000,0,Thaddeus Young,42,10.500,18,0,0.4,0,10,2.500,7,1.750,4,0.500,0,0.571,4,4,21,130,32.500,9,2.300,4290,42,10.500,28,7.000,2018,2,11,2.800,0,11,步行者,8,2.000,2,0.500,0,0.250,0,5,1.300
73,14,0.900,3,0.200,罗德尼-胡德,27,1.700,0,0.000,0,Rodney Hood,111,6.938,52,0,0.5,0,28,1.800,44,2.750,36,1.125,0,0.818,16,0,5,373,23.300,9,0.600,5334,158,9.900,36,2.300,2018,2,6,0.400,0,22,开拓者,51,3.188,18,1.125,0,0.353,0,7,0.400
74,28,4.700,6,1.000,帕特里克-贝弗利,40,6.700,3,0.000,0,Patrick Beverley,47,7.833,20,0,0.4,0,21,3.500,8,1.333,6,2.167,0,0.750,6,6,21,195,32.500,8,1.300,4647,59,9.800,48,8.000,2018,2,6,1.000,0,12,快船,30,5.000,13,2.167,0,0.433,0,10,1.700
75,6,1.500,7,1.800,迈尔斯-特纳,21,5.300,0,0.000,0,Myles Turner,35,8.750,14,0,0.4,0,14,3.500,13,3.250,8,0.750,0,0.615,4,4,33,126,31.500,4,1.000,5553,39,9.800,25,6.300,2018,2,0,0.000,0,11,步行者,14,3.500,3,0.750,0,0.214,0,3,0.800
