cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
奥斯汀-里弗斯,1.0,0.1,1.9,6.2,0.4,3.1,0.6,1.6,0.667,10,0,215,21.5,0.2,74,7.4,2.1,0.5,1.6,0.457,0.8
艾尔-法鲁克-阿米努,1.3,0.6,4.4,6.813,0.3,2.1,2.25,0.938,0.75,16,16,399,24.9,1.8,118,7.4,6.3,0.6,0.938,0.294,1.0
雅各布-珀尔特尔,1.7,0.7,4.1,5.143,0.6,3.7,1.286,0.0,0.556,7,7,177,25.3,3.6,51,7.3,7.7,0.3,0.0,0.0,0.4
凯文-卢尼,1.0,0.5,2.5,4.428999999999999,0.7,2.4,1.381,0.0,0.7240000000000001,21,1,431,20.5,2.0,149,7.1,4.5,0.6,0.0,0.0,0.6
韦斯利-马修斯,2.0,0.3,2.5,7.5,0.3,1.5,0.75,1.75,1.0,4,4,119,29.8,0.0,28,7.0,2.5,0.8,1.75,0.33299999999999996,2.0
丹尼-格林,1.1,0.5,2.9,6.457999999999999,0.3,2.5,0.958,1.625,0.9129999999999999,24,24,684,28.5,0.7,166,6.9,3.6,1.3,1.625,0.32799999999999996,1.1
厄桑-伊利亚索瓦,1.4,0.4,3.4,5.4,0.4,2.7,1.6669999999999998,0.8,0.8,15,0,272,18.1,1.3,102,6.8,4.7,0.7,0.8,0.3,0.5
扎克-科林斯,0.9,1.3,2.6,5.063,0.5,3.4,1.5630000000000002,0.43799999999999994,0.8,16,0,275,17.2,1.1,109,6.8,3.6,0.4,0.43799999999999994,0.33299999999999996,1.3
乔纳森-艾萨克,0.4,1.0,4.2,8.0,0.3,1.8,1.6,0.8,0.875,5,5,137,27.4,2.0,33,6.6,6.2,0.4,0.8,0.2,1.0
托雷-克莱格,0.9,0.4,3.6,4.928999999999999,0.5,2.7,1.143,1.214,0.563,14,11,330,23.6,1.5,92,6.6,5.1,0.5,1.214,0.47200000000000003,0.4
迈克尔 卡特-威廉姆斯,2.4,0.0,3.6,6.2,0.4,2.4,1.6,0.4,0.875,5,0,92,18.4,0.4,33,6.6,4.0,0.6,0.4,0.25,1.6
德玛雷-卡罗尔,0.4,0.0,2.8,7.6,0.2,1.6,1.6,1.4,1.0,5,3,119,23.8,1.2,33,6.6,4.0,0.8,1.4,0.292,0.6
诺曼-鲍威尔,1.1,0.0,2.0,5.478,0.4,1.3,0.826,1.043,0.737,23,0,366,15.9,0.2,150,6.5,2.2,0.4,1.043,0.387,0.5
乔-因戈尔斯,5.0,0.0,4.2,7.4,0.3,2.8,0.0,1.6,0.0,5,5,151,30.2,0.6,32,6.4,4.8,2.2,1.6,0.276,1.6
特里-罗齐尔,1.9,0.2,3.9,6.556,0.3,1.7,1.778,0.889,0.75,9,0,162,18.0,0.4,58,6.4,4.3,0.4,0.889,0.235,1.1
鲁迪恩-库鲁斯,0.8,0.0,3.5,5.0,0.4,2.5,2.25,0.5,0.778,4,3,68,17.0,1.5,25,6.3,5.0,0.5,0.5,0.25,0.5
帕特-康诺顿,1.4,0.9,5.5,5.132999999999999,0.5,0.9,0.5329999999999999,1.0,0.5,15,0,324,21.6,0.7,93,6.2,6.2,0.4,1.0,0.35700000000000004,0.6
伊斯-史密斯,3.5,0.3,2.5,9.5,0.3,2.0,1.0,0.25,0.75,4,0,81,20.3,0.3,24,6.0,2.8,0.8,0.25,0.14300000000000002,1.0
马可-贝里内利,1.1,0.3,1.9,5.428999999999999,0.4,1.0,0.857,1.143,0.833,7,0,131,18.7,0.0,41,5.9,1.9,0.0,1.143,0.381,0.3
博班-马扬诺维奇,1.0,0.3,2.1,3.636,0.6,1.6,1.7269999999999999,0.0,0.8420000000000001,11,0,105,9.5,1.2,64,5.8,3.3,0.2,0.0,0.0,1.3
迈克-斯考特,0.5,0.0,3.0,4.7,0.4,2.2,0.2,1.2,1.0,10,0,193,19.3,0.4,56,5.6,3.4,0.3,1.2,0.353,0.7
塞斯-库里,0.8,0.3,1.3,5.125,0.4,1.7,0.688,1.3130000000000002,0.818,16,0,326,20.4,0.3,90,5.6,1.6,0.8,1.3130000000000002,0.40399999999999997,0.4
索恩-梅克,1.0,1.0,1.3,6.5,0.3,3.5,2.25,0.0,0.889,4,2,69,17.3,1.0,22,5.5,2.3,0.0,0.0,0.0,0.8
蒙特-莫里斯,2.6,0.1,1.1,6.143,0.4,1.1,0.929,0.0,0.6920000000000001,14,0,224,16.0,0.2,75,5.4,1.4,0.4,0.0,0.0,0.4
埃德-戴维斯,0.7,0.3,5.0,3.333,0.7,3.0,0.667,0.0,1.0,3,0,41,13.7,1.3,16,5.3,6.3,0.0,0.0,0.0,0.0
帕蒂-米尔斯,3.6,0.1,2.0,6.143,0.3,1.3,1.429,0.429,0.6,7,0,152,21.7,0.1,37,5.3,2.1,1.0,0.429,0.136,0.4
基姆-伯奇,0.8,1.0,4.4,3.6,0.6,1.6,1.4,0.0,0.857,5,0,92,18.4,1.8,26,5.2,6.2,0.2,0.0,0.0,1.2
伊维查-祖巴茨,0.3,0.5,2.8,4.5,0.5,1.3,0.75,0.0,0.667,4,3,39,9.8,2.8,20,5.0,5.5,0.5,0.0,0.0,1.0
特伦斯-弗格森,1.2,0.0,2.0,5.0,0.4,3.8,0.0,1.4,0.0,5,5,128,25.6,0.4,25,5.0,2.4,0.4,1.4,0.389,1.0
丹纽尔-豪斯,0.1,0.3,2.9,5.2860000000000005,0.3,1.6,1.143,1.143,0.5,7,0,141,20.1,0.3,34,4.9,3.1,0.4,1.143,0.258,0.6
韦斯利-艾旺杜,0.8,0.0,1.4,3.6,0.3,0.8,1.8,0.6,1.0,5,0,60,12.0,0.0,24,4.8,1.4,0.6,0.6,0.33299999999999996,0.4
诺伦斯-诺埃尔,0.0,0.6,1.6,4.0,0.6,1.8,0.4,0.0,0.0,5,0,60,12.0,2.2,24,4.8,3.8,0.4,0.0,0.0,0.8
